"ID" "species" "pca" "segclass" "colordiscrim"
"942" "Turdus_pilaris" -0.37 -0.58 -0.39
"943" "Turnix_pyrrhothorax" 0.12 -0.3 0.04
"944" "Turnix_suscitator" -0.62 -0.6 -0.54
"945" "Turnix_sylvaticus" -0.72 -0.67 -0.5
"946" "Turnix_velox" 0.47 -0.22 -0.09
"947" "Tympanuchus_cupido" 0.04 -0.43 -0.12
"948" "Tympanuchus_phasianellus" 0.12 -0.4 -0.21
"949" "Tyrannus_caudifasciatus" -0.31 -0.57 -0.4
"950" "Tyrannus_crassirostris" -0.45 -0.73 -0.69
"951" "Tyrannus_dominicensis" -0.13 -0.61 -0.66
"952" "Tyrannus_forficatus" -0.47 -0.49 -0.72
"953" "Tyrannus_melancholicus" -0.21 -0.33 0.61
"954" "Tyrannus_savana" -0.18 -0.56 -0.53
"955" "Tyrannus_tyrannus" 0.15 -0.38 0.37
"956" "Tyrannus_vociferans" -0.38 -0.6 -0.29
"957" "Tyto_alba" 1.03 -0.07 -0.01
"958" "Uria_aalge" -0.64 -0.84 -0.73
"959" "Uria_lomvia" -0.7 -0.8 -0.82
"960" "Uropsalis_segmentata" -0.85 -0.55 -0.52
"961" "Vanga_curvirostris" -0.11 0 -0.68
"962" "Vermivora_celata" -0.57 -0.36 0.07
"963" "Vermivora_chrysoptera" 1.3 0.37 0.51
"964" "Parula_gutturalis" -0.05 -0.34 -0.63
"965" "Vermivora_luciae" -0.62 -0.67 -0.42
"966" "Vermivora_peregrina" 0.3 -0.53 -0.7
"967" "Vermivora_ruficapilla" -0.62 -0.55 -0.03
"968" "Parula_superciliosa" -0.45 -0.61 -0.49
"969" "Vermivora_virginiae" -0.32 -0.24 0.11
"970" "Vidua_paradisaea" 1.58 1.08 2.45
"971" "Vireo_altiloquus" 1.51 0.06 -0.1
"972" "Vireo_atricapilla" 0.61 -0.2 -0.03
"973" "Vireo_bellii" -0.45 -0.75 -0.76
"974" "Vireo_carmioli" -0.3 -0.67 -0.6
"975" "Vireo_flavifrons" 0.06 -0.52 -0.55
"976" "Vireo_gilvus" -0.56 -0.79 -0.75
"977" "Vireo_griseus" -0.56 -0.68 -0.51
"978" "Vireo_huttoni" -0.19 -0.65 -0.67
"979" "Vireo_latimeri" -0.47 -0.73 -0.61
"980" "Vireo_olivaceus" -0.79 -0.87 -0.71
"981" "Vireo_pallens" -0.02 -0.34 -0.2
"982" "Vireo_philadelphicus" -0.73 -0.64 -0.71
"983" "Vireo_solitarius" -0.17 -0.53 -0.55
"984" "Vireo_vicinior" NA -0.22 NA
"985" "Wilsonia_citrina" 0.33 0.18 1.27
"986" "Wilsonia_pusilla" -0.52 -0.31 0.52
"987" "Xanthocephalus_xanthocephalus" 0.94 1.49 1.79
"988" "Xanthotis_flaviventer" -0.74 -0.87 -0.74
"989" "Xanthotis_macleayanus" -0.12 -0.48 -0.3
"990" "Xanthotis_polygrammus" 0.04 NA NA
"991" "Zenaida_asiatica" -0.56 -0.73 -0.64
"992" "Zenaida_aurita" -0.23 -0.17 -0.44
"993" "Zenaida_macroura" -0.73 -0.55 -0.34
"994" "Zonotrichia_albicollis" -0.67 -0.03 -0.72
"995" "Zonotrichia_atricapilla" -0.34 -0.54 -0.29
"996" "Zonotrichia_capensis" -0.2 -0.3 -0.34
"997" "Zonotrichia_leucophrys" -0.57 -0.7 -0.72
"998" "Zonotrichia_querula" -0.76 -0.56 -0.61
"999" "Zoothera_dauma" 0.12 -0.45 -0.51
"1000" "Zosterops_lateralis" -0.34 -0.45 -0.12
"1001" "Zosterops_maderaspatanus" -0.31 -0.63 -0.55
"1002" "Zosterops_minor" -0.4 -0.52 -0.06
"1003" "Zosterops_novaeguineae" -0.57 -0.69 -0.55
