"ID" "species" "pca" "segclass" "colordiscrim"
"206" "Charadrius_ruficapillus" 0.08 -0.36 -0.51
"207" "Charadrius_semipalmatus" 0.43 -0.03 -0.15
"208" "Charadrius_tricollaris" -0.86 -0.87 -0.83
"209" "Charadrius_vociferus" 0.24 -0.4 -0.45
"210" "Chenonetta_jubata" 2.73 0.77 -0.1
"211" "Chionis_minor" -0.79 -0.6 -0.63
"212" "Chiroxiphia_caudata" 0.34 2.56 2.68
"213" "Chiroxiphia_linearis" 1.27 3.39 2.21
"214" "Chiroxiphia_pareola" 2.31 2.31 2.41
"215" "Chlamydera_cerviniventris" 0.97 -0.67 -0.63
"216" "Chlamydera_maculata" -0.6 0.11 -0.17
"217" "Chlamydera_nuchalis" 1.44 0.37 0.21
"218" "Chlidonias_niger" 1.42 -0.64 -0.76
"219" "Chloroceryle_americana" 0.51 0.65 1.19
"220" "Chordeiles_acutipennis" 0.16 -0.39 -0.22
"221" "Chordeiles_minor" 3.4 1.16 0.26
"222" "Chrysococcyx_lucidus" -0.53 -0.61 -0.41
"223" "Cicinnurus_regius" 2.09 3.75 NA
"224" "Cincloramphus_cruralis" 1.39 0.16 -0.09
"225" "Cincloramphus_mathewsi" -0.78 -0.73 -0.64
"226" "Cinclosoma_castaneothorax" 0.49 0.49 0.84
"227" "Cinclosoma_cinnamomeum" 0.3 0.19 0.57
"228" "Cinclosoma_punctatum" 0.7 -0.2 0.3
"229" "Cinclus_leucocephalus" -0.48 -0.79 -0.74
"230" "Circus_aeruginosus" -0.59 -0.59 -0.44
"231" "Cisticola_chubbi" -0.18 -0.6 -0.52
"232" "Cisticola_exilis" 0.08 -0.22 0.07
"233" "Cisticola_juncidis" 0.95 -0.19 -0.22
"234" "Cistothorus_palustris" -0.12 -0.35 -0.34
"235" "Cistothorus_platensis" -0.43 -0.62 -0.32
"236" "Clangula_hyemalis" 5.36 1.43 0.6
"237" "Claravis_pretiosa" 1.9 2.04 2.32
"238" "Climacteris_affinis" -0.84 -0.61 -0.61
"239" "Climacteris_melanurus" 0.28 -0.17 -0.23
"240" "Climacteris_picumnus" -0.7 -0.81 -0.7
"241" "Climacteris_rufus" -0.72 -0.84 -0.73
"242" "Coccothraustes_vespertinus" 0.22 0.65 1.13
"243" "Coccyzus_americanus" -0.59 -0.67 -0.66
"244" "Coccyzus_erythropthalmus" -0.55 -0.48 -0.35
"245" "Cochlearius_cochlearius" 0.88 0.53 0.14
"246" "Coeligena_coeligena" -0.79 0.06 -0.11
"247" "Coereba_flaveola" -0.5 -0.01 -0.49
"248" "Colaptes_auratus" -0.41 -0.63 0.09
"249" "Colinus_virginianus" NA -0.14 NA
"250" "Colius_striatus" -0.73 -0.48 -0.42
"251" "Collocalia_spodiopygia" -0.46 -0.43 -0.54
"252" "Colluricincla_harmonica" -0.07 -0.46 -0.49
"253" "Colluricincla_megarhyncha" -0.59 -0.69 -0.47
"254" "Colluricincla_woodwardi" -0.78 -0.73 -0.44
"255" "Colonia_colonus" -0.69 0.08 -0.28
"256" "Patagioenas_fasciata" -0.12 -0.3 -0.17
"257" "Patagioenas_flavirostris" -0.59 -0.35 -0.44
"258" "Patagioenas_leucocephala" 0.53 -0.37 -0.6
"259" "Columba_livia" 0.34 -0.04 -0.38
"260" "Columba_palumbus" -0.49 -0.71 -0.8
"261" "Patagioenas_speciosa" -0.69 -0.18 0
"262" "Columbina_passerina" 0.06 0.15 0.15
"263" "Columbina_talpacoti" -0.54 -0.22 -0.07
"264" "Conopophila_albogularis" -0.3 -0.68 -0.67
"265" "Conopophila_rufogularis" -0.33 -0.59 -0.36
"266" "Contopus_cooperi" -0.15 -0.6 -0.65
"267" "Contopus_sordidulus" -0.52 -0.64 -0.62
"268" "Contopus_virens" 0.11 -0.01 -0.29
"269" "Copsychus_albospecularis" 0.86 2.76 0.56
"270" "Coracina_caeruleogrisea" -0.73 -0.18 -0.76
"271" "Coracina_longicauda" 0.3 0.88 -0.46
"272" "Coracina_montana" -0.03 -0.07 -0.42
"273" "Coracina_novaehollandiae" -0.29 -0.31 -0.78
"274" "Coracina_papuensis" -0.23 -0.34 -0.75
"275" "Coracina_tenuirostris" 0.89 1.1 0.85
"276" "Cormobates_leucophaea" -0.57 -0.49 -0.38
"277" "Corvus_brachyrhynchos" -0.78 0.16 -0.66
"278" "Corvus_corax" -0.93 0.29 -0.61
"279" "Corvus_corone" -0.94 -0.01 -0.68
"280" "Corvus_coronoides" -0.77 -0.08 -0.57
"281" "Corvus_frugilegus" -0.87 0.2 -0.6
"282" "Corvus_mellori" -0.86 0.22 -0.76
"283" "Corvus_monedula" -0.91 -0.47 -0.74
"284" "Corvus_splendens" -0.71 0.08 -0.56
"285" "Cossypha_archeri" -0.66 -0.73 -0.32
"286" "Cossypha_caffra" -0.65 -0.45 -0.43
"287" "Cossyphicula_roberti" -0.72 -0.75 -0.4
"288" "Cotinga_amabilis" 8.35 3.9 6.39
"289" "Coturnix_coturnix" 0.1 -0.33 -0.23
"290" "Coturnix_pectoralis" 0.32 -0.11 0.38
"291" "Cracticus_cassicus" -0.53 0.67 -0.45
"292" "Cracticus_mentalis" -0.77 -0.7 -0.79
"293" "Cracticus_nigrogularis" -0.6 0.84 -0.63
"294" "Cracticus_quoyi" -0.78 0.82 -0.6
"295" "Cracticus_torquatus" -0.31 -0.32 -0.57
"296" "Crateroscelis_murina" -0.69 -0.43 -0.32
"297" "Crateroscelis_nigrorufa" -0.8 -0.65 -0.61
"298" "Crateroscelis_robusta" -0.11 -0.37 -0.32
"299" "Crax_rubra" 1.08 1.89 2.03
"300" "Crex_crex" -0.64 -0.72 -0.43
"301" "Crotophaga_sulcirostris" -0.97 -0.32 -0.79
"302" "Cryptospiza_jacksoni" -0.78 0.1 -0.17
"303" "Cryptospiza_reichenovii" -0.84 -0.39 -0.22
"304" "Cryptospiza_shelleyi" -0.78 -0.13 -0.36
"305" "Cyanerpes_cyaneus" 4.7 3.72 2.47
"306" "Cyanocitta_cristata" -0.61 -0.23 -0.56
"307" "Cyanocitta_stelleri" -0.8 -0.17 -0.53
"308" "Cyanocompsa_cyanoides" 0.75 3.63 3.63
"309" "Cyanocorax_sanblasianus" -0.66 -0.74 -0.8
"310" "Cyanocorax_yncas" -0.66 -0.41 -0.46
"311" "Cygnus_atratus" -0.84 -0.61 -0.6
"312" "Cygnus_columbianus" 1.06 -0.31 -0.48
"313" "Cygnus_melancoryphus" 0.52 -0.38 -0.69
"314" "Streptoprocne_rutila" -0.74 -0.19 -0.31
"315" "Dacelo_leachii" 0.48 0.56 0.06
"316" "Dacelo_novaeguineae" -0.16 -0.42 -0.34
"317" "Daphoenositta_chrysoptera" -0.47 -0.59 -0.54
"318" "Dasyornis_brachypterus" -0.21 NA NA
"319" "Dasyornis_broadbenti" -0.31 -0.51 -0.49
"320" "Delichon_urbicum" -0.21 -0.32 -0.57
"321" "Dendragapus_canadensis" 0.85 0.04 0.45
"322" "Dendragapus_obscurus" -0.65 -0.75 -0.72
"323" "Dendrocincla_fuliginosa" -0.71 -0.42 -0.05
"324" "Dendrocygna_arcuata" -0.64 -0.47 -0.41
"325" "Dendrocygna_bicolor" -0.45 -0.78 -0.7
"326" "Dendrocygna_eytoni" -0.55 -0.64 -0.57
"327" "Dendroica_adelaidae" -0.17 -0.42 -0.29
"328" "Dendroica_caerulescens" 0.98 1.44 1.37
"329" "Dendroica_castanea" -0.13 -0.1 -0.04
"330" "Dendroica_cerulea" 1.61 1.78 0.59
